KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,»esk· n·rodnÌ fronta,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
598143,Fr˝dlant nad OstravicÌ,8 072,5 232,5 207,"7,33 %","0,05 %","0,09 %","8,94 %","0,48 %","7,70 %","7,70 %","0,82 %","0,46 %","1,03 %","0,11 %","0,01 %","8,06 %","0,00 %","0,03 %","2,45 %","34,58 %","0,23 %","0,11 %","6,97 %","0,03 %","0,71 %","0,24 %","0,17 %","11,11 %","0,46 %"
598160,HnojnÌk,1 208,769,766,"6,52 %","0,00 %","0,00 %","9,26 %","0,26 %","1,30 %","6,00 %","0,26 %","0,26 %","0,78 %","0,13 %","0,00 %","6,26 %","0,00 %","0,00 %","1,69 %","34,46 %","0,13 %","0,13 %","14,88 %","0,13 %","0,39 %","0,00 %","0,00 %","14,22 %","2,87 %"
512192,HornÌ Domaslavice,643,436,436,"6,42 %","0,00 %","0,00 %","7,33 %","0,00 %","2,06 %","7,11 %","1,60 %","0,68 %","1,14 %","0,00 %","0,00 %","10,09 %","0,00 %","0,00 %","0,68 %","31,19 %","0,00 %","0,00 %","12,84 %","0,00 %","0,45 %","0,00 %","0,00 %","18,34 %","0,00 %"
511986,HornÌ Lomn·,336,197,195,"3,58 %","0,00 %","0,00 %","10,76 %","0,00 %","4,61 %","3,07 %","1,02 %","1,02 %","0,51 %","0,00 %","0,00 %","4,61 %","0,00 %","0,00 %","2,56 %","31,79 %","0,00 %","1,53 %","26,66 %","0,00 %","0,00 %","0,00 %","0,00 %","7,17 %","1,02 %"
552631,HornÌ Toöanovice,463,266,261,"6,51 %","0,00 %","0,00 %","8,04 %","0,00 %","3,83 %","7,66 %","0,76 %","0,00 %","1,14 %","0,00 %","0,00 %","4,59 %","0,00 %","0,00 %","0,76 %","35,63 %","0,38 %","0,00 %","7,66 %","0,00 %","0,00 %","0,00 %","0,00 %","21,45 %","1,53 %"
512176,Hr·dek,1 478,905,898,"7,01 %","0,00 %","0,00 %","14,81 %","0,00 %","5,79 %","6,34 %","0,77 %","0,77 %","0,77 %","0,11 %","0,00 %","7,57 %","0,00 %","0,55 %","1,11 %","32,73 %","0,00 %","0,11 %","11,80 %","0,00 %","0,66 %","0,00 %","0,11 %","8,57 %","0,33 %"
598232,HrËava,208,117,117,"2,56 %","0,00 %","0,00 %","8,54 %","0,00 %","4,27 %","2,56 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","9,40 %","0,00 %","0,00 %","0,85 %","34,18 %","0,00 %","0,00 %","14,52 %","0,00 %","0,00 %","0,00 %","0,85 %","21,36 %","0,85 %"
598691,Hukvaldy,1 684,1 141,1 137,"9,14 %","0,08 %","0,17 %","8,53 %","0,17 %","2,99 %","10,46 %","0,79 %","0,43 %","0,35 %","0,00 %","0,17 %","8,70 %","0,00 %","0,00 %","3,34 %","32,62 %","0,08 %","0,08 %","10,37 %","0,00 %","0,43 %","0,00 %","0,43 %","10,11 %","0,43 %"
598259,Jablunkov,4 502,2 395,2 382,"6,21 %","0,08 %","0,04 %","15,28 %","0,25 %","3,10 %","4,82 %","1,00 %","0,33 %","0,88 %","0,16 %","0,16 %","6,96 %","0,00 %","0,00 %","1,55 %","26,74 %","0,00 %","0,12 %","20,27 %","0,04 %","0,88 %","0,08 %","0,12 %","10,53 %","0,29 %"
507423,Janovice,1 509,936,933,"7,50 %","0,00 %","0,00 %","5,89 %","0,00 %","10,07 %","9,75 %","0,53 %","0,85 %","1,28 %","0,00 %","0,10 %","8,68 %","0,00 %","0,00 %","2,57 %","31,83 %","0,32 %","0,00 %","6,32 %","0,10 %","0,42 %","0,32 %","0,00 %","13,39 %","0,00 %"
